timestamp,workload,memory,temperature,power
0,16.126976521322472,87.13895543842837,43.8049590748512,7.325030716651763
10,21.587782805429864,87.05429864253394,42.511101389657206,8.813528043425883
20,17.319327731092436,86.94911297852474,43.29339527352901,7.633317441076564
30,16.828703703703702,86.94537037037037,42.78768221297957,7.504576286026658
40,18.65183486238532,86.94954128440367,45.662850674980966,7.9902057588019275
50,20.02323282254078,86.99851705388038,43.31516951688053,8.36880164534648
60,17.867094861660078,86.92490118577075,45.05887331013266,7.778501115195375
70,18.708353929807217,86.88185862580326,48.106788686745205,8.004898377968775
80,15.28472565496787,86.85170538803757,46.32096495769996,7.108477565545498
90,15.238683127572015,86.66820987654322,42.704698872603466,7.0950944724883485
100,18.187720181177653,86.69753397081027,42.99254521749019,7.862184469685731
110,15.667014613778706,86.61482254697286,44.4544954015045,7.202527769299026
120,15.126038104543234,86.74059599413776,40.05638889038323,7.067624176102605
130,16.83861386138614,86.71188118811881,41.703349241264945,7.504826412393863
140,14.686092066601372,86.76542605288932,44.25728280967348,6.958564346572474
150,14.871505640019617,86.70524767042669,42.922305790866744,7.003872651042414
160,15.558002936857562,86.71071953010279,47.02366202558058,7.175895352989869
170,15.074743527112847,86.64435759648266,41.863085216823855,7.053850931287215
180,15.594449853943525,86.65238558909445,41.00966118835182,7.184528328532908
190,17.0,86.69074163839069,41.443622563993465,7.546797340139472
200,16.536465981399903,86.70729319627998,43.3018725212432,7.42624129382718
210,14.771998055420516,86.65435099659699,42.84357722957983,6.978696053705017
220,14.115328467153285,86.58345498783456,47.49011033434076,6.816877834692442
230,16.724926971762414,86.63242453748782,42.346053049015865,7.474413764112306
240,15.711491442542789,86.62151589242053,43.255161670317285,7.213874111066973
250,17.658215504631887,86.70404680643588,45.07778516796096,7.720624047245161
260,15.7314453125,86.71337890625,43.05579520617759,7.219857234557625
270,15.725798525798526,86.807371007371,44.3542627012995,7.219363683338015
280,16.392665036674817,86.760391198044,44.06670046326646,7.389593663736838
